QR ID,QR Title,QR Description,Permalink,Type,Redirection,PNG Image,SVG Image
2962649,Partido 150,Cargar los puntos del partido 150,http://uqr.to/1rhzt,url,https://torneo.sejama.com.ar/partido/150/editar,https://app.qrcodekit.com/qrs/2962649.png,https://app.qrcodekit.com/qrs/2962649.svg
2962648,Partido 149,Cargar los puntos del partido 149,http://uqr.to/1rhzs,url,https://torneo.sejama.com.ar/partido/149/editar,https://app.qrcodekit.com/qrs/2962648.png,https://app.qrcodekit.com/qrs/2962648.svg
2962647,Partido 148,Cargar los puntos del partido 148,http://uqr.to/1rhzr,url,https://torneo.sejama.com.ar/partido/148/editar,https://app.qrcodekit.com/qrs/2962647.png,https://app.qrcodekit.com/qrs/2962647.svg
2962646,Partido 147,Cargar los puntos del partido 147,http://uqr.to/1rhzq,url,https://torneo.sejama.com.ar/partido/147/editar,https://app.qrcodekit.com/qrs/2962646.png,https://app.qrcodekit.com/qrs/2962646.svg
2962645,Partido 146,Cargar los puntos del partido 146,http://uqr.to/1rhzp,url,https://torneo.sejama.com.ar/partido/146/editar,https://app.qrcodekit.com/qrs/2962645.png,https://app.qrcodekit.com/qrs/2962645.svg
2962644,Partido 145,Cargar los puntos del partido 145,http://uqr.to/1rhzo,url,https://torneo.sejama.com.ar/partido/145/editar,https://app.qrcodekit.com/qrs/2962644.png,https://app.qrcodekit.com/qrs/2962644.svg
2962643,Partido 144,Cargar los puntos del partido 144,http://uqr.to/1rhzn,url,https://torneo.sejama.com.ar/partido/144/editar,https://app.qrcodekit.com/qrs/2962643.png,https://app.qrcodekit.com/qrs/2962643.svg
2962642,Partido 143,Cargar los puntos del partido 143,http://uqr.to/1rhzm,url,https://torneo.sejama.com.ar/partido/143/editar,https://app.qrcodekit.com/qrs/2962642.png,https://app.qrcodekit.com/qrs/2962642.svg
2962641,Partido 142,Cargar los puntos del partido 142,http://uqr.to/1rhzl,url,https://torneo.sejama.com.ar/partido/142/editar,https://app.qrcodekit.com/qrs/2962641.png,https://app.qrcodekit.com/qrs/2962641.svg
2962640,Partido 141,Cargar los puntos del partido 141,http://uqr.to/1rhzk,url,https://torneo.sejama.com.ar/partido/141/editar,https://app.qrcodekit.com/qrs/2962640.png,https://app.qrcodekit.com/qrs/2962640.svg
2962639,Partido 140,Cargar los puntos del partido 140,http://uqr.to/1rhzj,url,https://torneo.sejama.com.ar/partido/140/editar,https://app.qrcodekit.com/qrs/2962639.png,https://app.qrcodekit.com/qrs/2962639.svg
2962638,Partido 139,Cargar los puntos del partido 139,http://uqr.to/1rhzi,url,https://torneo.sejama.com.ar/partido/139/editar,https://app.qrcodekit.com/qrs/2962638.png,https://app.qrcodekit.com/qrs/2962638.svg
2962637,Partido 138,Cargar los puntos del partido 138,http://uqr.to/1rhzh,url,https://torneo.sejama.com.ar/partido/138/editar,https://app.qrcodekit.com/qrs/2962637.png,https://app.qrcodekit.com/qrs/2962637.svg
